team,name,age,position,rank,rating
ATL,Al Horford,29,C,1,83
ATL,Tiago Splitter,31,C,2,77
ATL,Paul Millsap,31,PF,1,85
ATL,Mike Scott,27,PF,2,72
ATL,Jeff Teague,27,PG,1,78
ATL,Dennis Schroder,22,PG,2,70
ATL,Kirk Hinrich,35,PG,3,76
ATL,Kent Bazemore,26,SF,1,74
ATL,Thabo Sefolosha,31,SF,2,74
ATL,Kyle Korver,34,SG,1,78
BKN,Brook Lopez,27,C,1,83
BKN,Thaddeus Young,27,PF,1,78
BKN,Thomas Robinson,24,PF,2,75
BKN,Donald Sloan,28,PG,1,65
BKN,Shane Larkin,23,PG,2,72
BKN,Jarrett Jack,32,PG,3,74
BKN,Bojan Bogdanovic,26,SF,1,74
BKN,Sergey Karasev,22,SF,2,66
BKN,Wayne Ellington,28,SG,1,71
BKN,Markel Brown,24,SG,2,68
BOS,Jared Sullinger,23,C,1,78
BOS,Kelly Olynyk,24,C,2,74
BOS,Tyler Zeller,26,C,3,70
BOS,Amir Johnson,28,PF,1,77
BOS,Jonas Jerebko,28,PF,2,71
BOS,Isaiah Thomas,27,PG,1,80
BOS,Marcus Smart,21,PG,2,76
BOS,Jae Crowder,25,SF,1,72
BOS,James Young,20,SF,2,68
BOS,Avery Bradley,25,SG,1,78
CHA,Cody Zeller,23,C,1,73
CHA,Spencer Hawes,27,C,2,76
CHA,Al Jefferson,31,C,3,87
CHA,Marvin Williams,29,PF,1,73
CHA,Tyler Hansbrough,30,PF,3,73
CHA,Kemba Walker,25,PG,1,82
CHA,Jeremy Lin,27,PG,2,77
CHA,Nicolas Batum,27,SF,1,79
CHA,Troy Daniels,24,SF,2,71
CHA,Michael Kidd-Gilchrist,22,SF,3,77
CHA,Courtney Lee,30,SG,1,76
CHA,Jeremy Lamb,23,SG,2,73
CHI,Pau Gasol,35,C,1,82
CHI,Joakim Noah,31,C,2,87
CHI,Taj Gibson,30,PF,1,80
CHI,Nikola Mirotic,25,PF,2,75
CHI,Cameron Bairstow,25,PF,4,66
CHI,Derrick Rose,27,PG,1,88
CHI,Aaron Brooks,31,PG,2,73
CHI,Mike Dunleavy,35,SF,1,74
CHI,Doug McDermott,24,SF,2,75
CHI,Tony Snell,24,SF,3,72
CHI,Jimmy Butler,26,SG,2,80
CLE,Tristan Thompson,24,C,1,76
CLE,Timofey Mozgov,29,C,2,74
CLE,Kevin Love,27,PF,1,89
CLE,Channing Frye,32,PF,2,76
CLE,James Jones,35,PF,3,69
CLE,Kyrie Irving,23,PG,1,86
CLE,Mo Williams,33,PG,2,76
CLE,Matthew Dellavedova,25,PG,3,72
CLE,LeBron James,31,SF,1,98
CLE,Richard Jefferson,35,SF,2,72
CLE,J.R. Smith,30,SG,1,78
CLE,Iman Shumpert,25,SG,2,77
DAL,Zaza Pachulia,32,C,1,69
DAL,JaVale McGee,28,C,2,74
DAL,Dirk Nowitzki,37,PF,1,88
DAL,David Lee,32,PF,2,82
DAL,Deron Williams,31,PG,1,84
DAL,J.J. Barea,31,PG,2,74
DAL,Raymond Felton,31,PG,3,74
DAL,Chandler Parsons,27,SF,1,79
DAL,Jeremy Evans,28,SF,2,70
DAL,Wesley Matthews,29,SG,1,78
DAL,Devin Harris,33,SG,2,75
DEN,Jusuf Nurkic,21,C,2,69
DEN,Kenneth Faried,26,PF,1,81
DEN,Darrell Arthur,27,PF,2,69
DEN,Jameer Nelson,34,PG,2,76
DEN,D.J. Augustin,28,PG,3,76
DEN,Danilo Gallinari,27,SF,1,77
DEN,Will Barton,25,SF,2,70
DEN,Wilson Chandler,28,SF,4,78
DEN,Gary Harris,21,SG,1,71
DEN,Mike Miller,36,SG,2,74
DET,Andre Drummond,22,C,1,83
DET,Tobias Harris,23,PF,1,76
DET,Joel Anthony,33,PF,2,66
DET,Anthony Tolliver,30,PF,3,73
DET,Reggie Jackson,25,PG,1,78
DET,Steve Blake,36,PG,2,71
DET,Marcus Morris,26,SF,1,75
DET,Reggie Bullock,24,SF,3,69
DET,Kentavious Caldwell-Pope,23,SG,1,72
DET,Jodie Meeks,28,SG,2,75
GSW,Andrew Bogut,31,C,1,80
GSW,Anderson Varejao,33,C,2,75
GSW,Festus Ezeli,26,C,3,67
GSW,Draymond Green,25,PF,1,77
GSW,Marreese Speights,28,PF,2,72
GSW,Stephen Curry,27,PG,1,89
GSW,Shaun Livingston,30,PG,2,74
GSW,Harrison Barnes,23,SF,1,76
GSW,Andre Iguodala,32,SF,2,82
GSW,Klay Thompson,26,SG,1,82
GSW,Brandon Rush,30,SG,2,69
GSW,Ian Clark,24,SG,3,67
HOU,Dwight Howard,30,C,1,88
HOU,Terrence Jones,24,PF,2,77
HOU,Josh Smith,30,PF,3,80
HOU,Donatas Motiejunas,25,PF,4,69
HOU,Patrick Beverley,27,PG,1,78
HOU,Jason Terry,38,PG,2,74
HOU,Ty Lawson,28,PG,3,84
HOU,Trevor Ariza,30,SF,1,78
HOU,Corey Brewer,29,SF,2,75
HOU,James Harden,26,SG,1,88
IND,Ian Mahinmi,29,C,1,75
IND,Jordan Hill,28,C,2,76
IND,Lavoy Allen,27,PF,2,68
IND,George Hill,29,PG,1,78
IND,Paul George,25,SF,1,89
IND,Chase Budinger,27,SF,2,70
IND,C.J. Miles,28,SF,3,73
IND,Solomon Hill,24,SF,4,66
IND,Monta Ellis,30,SG,1,82
IND,Rodney Stuckey,29,SG,2,75
LAC,DeAndre Jordan,27,C,1,81
LAC,Cole Aldrich,27,C,2,67
LAC,Luc Mbah a Moute,29,PF,1,74
LAC,Blake Griffin,26,PF,2,89
LAC,Chris Paul,30,PG,1,91
LAC,Pablo Prigioni,38,PG,2,72
LAC,Austin Rivers,23,PG,3,72
LAC,Paul Pierce,38,SF,1,81
LAC,Jeff Green,29,SF,2,78
LAC,Wesley Johnson,28,SF,3,73
LAC,J.J. Redick,31,SG,1,77
LAC,Jamal Crawford,35,SG,2,80
LAC,C.J. Wilcox,25,SG,3,67
LAL,Roy Hibbert,29,C,1,80
LAL,Robert Sacre,26,C,2,67
LAL,Julius Randle,21,PF,2,76
LAL,Brandon Bass,30,PF,3,75
LAL,Ryan Kelly,24,PF,4,71
LAL,Louis Williams,29,PG,1,77
LAL,Kobe Bryant,37,SF,1,89
LAL,Nick Young,30,SF,2,78
LAL,Jordan Clarkson,23,SG,1,70
MEM,Brandan Wright,28,C,1,75
MEM,Chris Andersen,37,C,2,75
MEM,Marc Gasol,31,C,3,85
MEM,Zach Randolph,34,PF,1,84
MEM,Mike Conley,28,PG,1,83
MEM,Mario Chalmers,29,PG,2,75
MEM,Matt Barnes,35,SF,1,76
MEM,Lance Stephenson,25,SF,2,84
MEM,James Ennis,25,SF,3,70
MEM,P.J. Hairston,23,SF,4,71
MEM,Tony Allen,34,SG,1,78
MEM,Vince Carter,39,SG,2,77
MEM,Jordan Adams,21,SG,3,71
MIA,Amar'e Stoudemire,33,C,2,77
MIA,Josh McRoberts,28,PF,1,74
MIA,Udonis Haslem,35,PF,2,72
MIA,Chris Bosh,31,PF,3,84
MIA,Goran Dragic,29,PG,1,84
MIA,Beno Udrih,33,PG,3,74
MIA,Luol Deng,30,SF,1,79
MIA,Dwyane Wade,34,SG,1,86
MIA,Joe Johnson,34,SG,2,82
MIA,Gerald Green,30,SG,3,78
MIL,Miles Plumlee,27,C,1,78
MIL,Greg Monroe,25,C,2,80
MIL,Jabari Parker,20,PF,1,78
MIL,John Henson,25,PF,2,75
MIL,O.J. Mayo,28,PG,1,77
MIL,Michael Carter-Williams,24,PG,2,80
MIL,Tyler Ennis,21,PG,3,71
MIL,Greivis Vasquez,29,PG,4,76
MIL,Giannis Antetokounmpo,21,SF,1,74
MIL,Steve Novak,32,SF,2,72
MIL,Khris Middleton,24,SG,1,75
MIL,Jerryd Bayless,27,SG,2,74
MIN,Gorgui Dieng,26,C,2,72
MIN,Nikola Pekovic,30,C,3,81
MIN,Kevin Garnett,39,PF,1,77
MIN,Adreian Payne,25,PF,3,71
MIN,Ricky Rubio,25,PG,1,79
MIN,Tayshaun Prince,36,SF,1,75
MIN,Shabazz Muhammad,23,SF,2,67
MIN,Andrew Wiggins,21,SG,1,77
MIN,Zach LaVine,20,SG,2,72
MIN,Kevin Martin,33,SG,3,79
NO,Omer Asik,29,C,1,76
NO,Alexis Ajinca,27,C,2,68
NO,Kendrick Perkins,31,C,3,74
NO,Anthony Davis,22,PF,1,88
NO,Ryan Anderson,27,PF,2,77
NO,Luke Babbitt,26,PF,3,66
NO,Jrue Holiday,25,PG,1,82
NO,Alonzo Gee,28,SF,1,69
NO,Quincy Pondexter,27,SF,3,68
NO,Norris Cole,27,SG,1,75
NO,Tyreke Evans,26,SG,3,78
NO,Eric Gordon,27,SG,4,79
NYK,Robin Lopez,27,C,1,77
NYK,Kevin Seraphin,26,C,2,74
NYK,Kyle O'Quinn,25,C,3,70
NYK,Derrick Williams,24,PF,2,71
NYK,Jose Calderon,34,PG,1,78
NYK,Carmelo Anthony,31,SF,1,89
NYK,Cleanthony Early,24,SF,2,70
NYK,Arron Afflalo,30,SG,1,78
OKC,Steven Adams,22,C,1,74
OKC,Enes Kanter,23,C,2,75
OKC,Mitch McGary,23,C,3,68
OKC,Serge Ibaka,26,PF,1,84
OKC,Nick Collison,35,PF,2,74
OKC,Russell Westbrook,27,PG,1,88
OKC,Randy Foye,32,PG,3,74
OKC,Kevin Durant,27,SF,1,95
OKC,Kyle Singler,27,SF,2,74
OKC,Dion Waiters,24,SG,1,78
OKC,Anthony Morrow,30,SG,2,73
OKC,Andre Roberson,24,SG,3,68
ORL,Nikola Vucevic,25,C,1,80
ORL,Jason Smith,29,C,2,72
ORL,Dewayne Dedmon,26,C,3,66
ORL,Ersan Ilyasova,28,PF,1,73
ORL,Andrew Nicholson,26,PF,2,71
ORL,Elfrid Payton,22,PG,1,74
ORL,Brandon Jennings,26,PG,2,80
ORL,Shabazz Napier,24,PG,3,74
ORL,C.J. Watson,31,PG,4,75
ORL,Aaron Gordon,20,SF,1,74
ORL,Evan Fournier,23,SG,2,72
PHI,Joel Embiid,21,C,3,77
PHI,Nerlens Noel,21,PF,1,76
PHI,Carl Landry,32,PF,2,75
PHI,Ish Smith,27,PG,1,68
PHI,Isaiah Canaan,24,PG,2,72
PHI,Kendall Marshall,24,PG,4,74
PHI,Robert Covington,25,SF,1,69
PHI,Jerami Grant,21,SF,2,68
PHI,Nik Stauskas,22,SG,1,74
PHI,Hollis Thompson,24,SG,2,71
PHO,Tyson Chandler,33,C,1,79
PHO,Alex Len,22,C,2,67
PHO,Mirza Teletovic,30,PF,1,71
PHO,Jon Leuer,26,PF,2,69
PHO,Kris Humphries,31,PF,3,73
PHO,Archie Goodwin,21,PG,2,69
PHO,Brandon Knight,24,PG,3,79
PHO,Phil Pressey,25,PG,4,70
PHO,P.J. Tucker,30,SF,1,76
PHO,T.J. Warren,22,SF,3,72
PHO,Eric Bledsoe,26,SG,2,81
PHO,John Jenkins,24,SG,3,68
POR,Mason Plumlee,25,C,1,77
POR,Ed Davis,26,C,2,73
POR,Chris Kaman,33,C,3,76
POR,Noah Vonleh,20,PF,1,72
POR,Meyers Leonard,24,PF,2,68
POR,Damian Lillard,25,PG,1,87
POR,Brian Roberts,30,PG,2,74
POR,Al-Farouq Aminu,25,SF,1,74
POR,Maurice Harkless,22,SF,2,74
POR,Allen Crabbe,23,SG,2,67
POR,Gerald Henderson,28,SG,3,78
SAC,DeMarcus Cousins,25,C,1,86
SAC,Kosta Koufos,27,C,2,72
SAC,Quincy Acy,25,C,3,67
SAC,Rajon Rondo,30,PG,1,87
SAC,Rudy Gay,29,SF,1,82
SAC,Caron Butler,35,SF,2,76
SAC,Marco Belinelli,29,SG,1,75
SAC,Ben McLemore,23,SG,3,74
SAS,Tim Duncan,39,C,1,90
SAS,Boris Diaw,33,C,2,78
SAS,LaMarcus Aldridge,30,PF,1,88
SAS,David West,35,PF,2,80
SAS,Matt Bonner,35,PF,3,73
SAS,Tony Parker,33,PG,1,88
SAS,Ray McCallum,24,PG,3,74
SAS,Kawhi Leonard,24,SF,1,85
SAS,Kyle Anderson,22,SF,2,67
SAS,Danny Green,28,SG,1,78
SAS,Manu Ginobili,38,SG,2,83
TOR,Jonas Valanciunas,23,C,1,78
TOR,Bismack Biyombo,23,C,2,73
TOR,Luis Scola,35,PF,1,77
TOR,Patrick Patterson,26,PF,2,75
TOR,Anthony Bennett,22,PF,3,70
TOR,Kyle Lowry,29,PG,1,85
TOR,Cory Joseph,24,PG,2,73
TOR,James Johnson,29,SF,1,70
TOR,Bruno Caboclo,20,SF,2,64
TOR,DeMarre Carroll,29,SF,3,75
TOR,DeMar DeRozan,26,SG,1,85
TOR,Terrence Ross,25,SG,2,76
UTH,Rudy Gobert,23,C,1,71
UTH,Jeff Withey,25,C,2,69
UTH,Derrick Favors,24,PF,1,78
UTH,Trevor Booker,28,PF,2,74
UTH,Trey Burke,23,PG,2,75
UTH,Dante Exum,20,PG,3,74
UTH,Gordon Hayward,25,SF,1,79
UTH,Rodney Hood,23,SG,1,71
UTH,Alec Burks,24,SG,2,76
UTH,Shelvin Mack,25,SG,3,71
WAS,Marcin Gortat,32,C,1,81
WAS,Drew Gooden,34,C,2,70
WAS,Jared Dudley,30,PF,1,74
WAS,Nene Hilario,33,PF,2,80
WAS,Markieff Morris,26,PF,3,78
WAS,John Wall,25,PG,1,86
WAS,Garrett Temple,29,SG,1,68
WAS,Bradley Beal,22,SG,2,81
WAS,Gary Neal,31,SG,3,75
WAS,Alan Anderson,33,SG,4,71
