Team,NO.,Fint,FirstName,LastName,Name,Position,AGE,HT,WT,COLLEGE,2015-2016 SALARY
ATL,24,K,Kent,Bazemore,Kent Bazemore,SF,26,5-Jun,201,Old Dominion,"$2,000,000 "
ATL,10,T,Tim,Hardaway Jr.,Tim Hardaway Jr.,SG,23,6-Jun,205,Michigan,"$1,304,520 "
ATL,12,K,Kirk,Hinrich,Kirk Hinrich,SG,35,4-Jun,190,Kansas,"$2,854,940 "
ATL,15,A,Al,Horford,Al Horford,C,29,10-Jun,245,Florida,"$12,000,000 "
ATL,26,K,Kyle,Korver,Kyle Korver,SG,34,7-Jun,212,Creighton,"$5,746,479 "
ATL,4,P,Paul,Millsap,Paul Millsap,PF,31,8-Jun,246,Louisiana Tech,"$18,671,659 "
ATL,31,M,Mike,Muscala,Mike Muscala,PF,24,11-Jun,240,Bucknell,"$947,276 "
ATL,13,L,Lamar,Patterson,Lamar Patterson,SG,24,5-Jun,225,Pittsburgh,"$525,093 "
ATL,17,D,Dennis,Schroder,Dennis Schroder,PG,22,1-Jun,172, ,"$1,763,400 "
ATL,32,M,Mike,Scott,Mike Scott,PF,27,8-Jun,237,Virginia,"$3,333,333 "
ATL,25,T,Thabo,Sefolosha,Thabo Sefolosha,SF,31,7-Jun,220, ,"$4,000,000 "
ATL,11,T,Tiago,Splitter,Tiago Splitter,C,31,11-Jun,245, ,"$9,756,250 "
ATL,22,W,Walter,Tavares,Walter Tavares,C,23,3-Jul,260, ,"$1,000,000 "
ATL,0,J,Jeff,Teague,Jeff Teague,PG,27,2-Jun,186,Wake Forest,"$8,000,000 "
BOS,0,A,Avery,Bradley,Avery Bradley,PG,25,2-Jun,180,Texas,"$7,730,337 "
BOS,99,J,Jae,Crowder,Jae Crowder,SF,25,6-Jun,235,Marquette,"$6,796,117 "
BOS,28,R,R.J.,Hunter,R.J. Hunter,SG,22,5-Jun,185,Georgia State,"$1,148,640 "
BOS,8,J,Jonas,Jerebko,Jonas Jerebko,PF,28,10-Jun,231, ,"$5,000,000 "
BOS,90,A,Amir,Johnson,Amir Johnson,PF,28,9-Jun,240, ,"$12,000,000 "
BOS,55,J,Jordan,Mickey,Jordan Mickey,PF,21,8-Jun,235,LSU,"$1,170,960 "
BOS,41,K,Kelly,Olynyk,Kelly Olynyk,C,24,Jul-00,238,Gonzaga,"$2,165,160 "
BOS,12,T,Terry,Rozier,Terry Rozier,PG,21,2-Jun,190,Louisville,"$1,824,360 "
BOS,36,M,Marcus,Smart,Marcus Smart,PG,21,4-Jun,220,Oklahoma State,"$3,431,040 "
BOS,7,J,Jared,Sullinger,Jared Sullinger,C,23,9-Jun,260,Ohio State,"$2,569,260 "
BOS,4,I,Isaiah,Thomas,Isaiah Thomas,PG,27,9-May,185,Washington,"$6,912,869 "
BOS,11,E,Evan,Turner,Evan Turner,SG,27,7-Jun,220,Ohio State,"$3,425,510 "
BOS,13,J,James,Young,James Young,SG,20,6-Jun,215,Kentucky,"$1,749,840 "
BOS,44,T,Tyler,Zeller,Tyler Zeller,C,26,Jul-00,253,North Carolina,"$2,616,975 "
BKN,44,B,Bojan,Bogdanovic,Bojan Bogdanovic,SG,26,8-Jun,216, ,"$3,425,510 "
BKN,22,M,Markel,Brown,Markel Brown,SG,24,3-Jun,190,Oklahoma State,"$845,059 "
