,NO.,FirstName,LastName,POS,AGE,HT,WT,COLLEGE,2015-2016 SALARY,Team
1,24,Kent,Bazemore,SF,26,5-Jun,201,Old Dominion,"$2,000,000 ",ATL
2,10,Tim,Hardaway Jr.,SG,23,6-Jun,205,Michigan,"$1,304,520 ",ATL
3,12,Kirk,Hinrich,SG,35,4-Jun,190,Kansas,"$2,854,940 ",ATL
4,15,Al,Horford,C,29,10-Jun,245,Florida,"$12,000,000 ",ATL
5,26,Kyle,Korver,SG,34,7-Jun,212,Creighton,"$5,746,479 ",ATL
6,4,Paul,Millsap,PF,31,8-Jun,246,Louisiana Tech,"$18,671,659 ",ATL
7,31,Mike,Muscala,PF,24,11-Jun,240,Bucknell,"$947,276 ",ATL
8,13,Lamar,Patterson,SG,24,5-Jun,225,Pittsburgh,"$525,093 ",ATL
9,17,Dennis,Schroder,PG,22,1-Jun,172, ,"$1,763,400 ",ATL
10,32,Mike,Scott,PF,27,8-Jun,237,Virginia,"$3,333,333 ",ATL
11,25,Thabo,Sefolosha,SF,31,7-Jun,220, ,"$4,000,000 ",ATL
12,11,Tiago,Splitter,C,31,11-Jun,245, ,"$9,756,250 ",ATL
13,22,Walter,Tavares,C,23,3-Jul,260, ,"$1,000,000 ",ATL
14,0,Jeff,Teague,PG,27,2-Jun,186,Wake Forest,"$8,000,000 ",ATL
15,0,Avery,Bradley,PG,25,2-Jun,180,Texas,"$7,730,337 ",BOS
16,99,Jae,Crowder,SF,25,6-Jun,235,Marquette,"$6,796,117 ",BOS
17,28,R.J.,Hunter,SG,22,5-Jun,185,Georgia State,"$1,148,640 ",BOS
18,8,Jonas,Jerebko,PF,28,10-Jun,231, ,"$5,000,000 ",BOS
19,90,Amir,Johnson,PF,28,9-Jun,240, ,"$12,000,000 ",BOS
20,55,Jordan,Mickey,PF,21,8-Jun,235,LSU,"$1,170,960 ",BOS
21,41,Kelly,Olynyk,C,24,Jul-00,238,Gonzaga,"$2,165,160 ",BOS
22,12,Terry,Rozier,PG,21,2-Jun,190,Louisville,"$1,824,360 ",BOS
23,36,Marcus,Smart,PG,21,4-Jun,220,Oklahoma State,"$3,431,040 ",BOS
24,7,Jared,Sullinger,C,23,9-Jun,260,Ohio State,"$2,569,260 ",BOS
25,4,Isaiah,Thomas,PG,27,9-May,185,Washington,"$6,912,869 ",BOS
26,11,Evan,Turner,SG,27,7-Jun,220,Ohio State,"$3,425,510 ",BOS
27,13,James,Young,SG,20,6-Jun,215,Kentucky,"$1,749,840 ",BOS
28,44,Tyler,Zeller,C,26,Jul-00,253,North Carolina,"$2,616,975 ",BOS
29,44,Bojan,Bogdanovic,SG,26,8-Jun,216, ,"$3,425,510 ",BKN
30,22,Markel,Brown,SG,24,3-Jun,190,Oklahoma State,"$845,059 ",BKN
31,21,Wayne,Ellington,SG,28,4-Jun,200,North Carolina,"$1,500,000 ",BKN
32,24,Rondae,Hollis-Jefferson,SG,21,7-Jun,220,Arizona,"$1,335,480 ",BKN
33,2,Jarrett,Jack,PG,32,3-Jun,200,Georgia Tech,"$6,300,000 ",BKN
34,10,Sergey,Karasev,SG,22,7-Jun,208, ,"$1,599,840 ",BKN
35,0,Shane,Larkin,PG,23,11-May,175,Miami (FL),"$1,500,000 ",BKN
36,11,Brook,Lopez,C,27,Jul-00,275,Stanford,"$19,689,000 ",BKN
37,1,Chris,McCullough,PF,21,11-Jun,200,Syracuse,"$1,140,240 ",BKN
38,33,Willie,Reed,PF,25,10-Jun,220,Saint Louis,"$947,276 ",BKN
39,41,Thomas,Robinson,PF,24,10-Jun,237,Kansas,"$981,348 ",BKN
40,15,Donald,Sloan,PG,28,3-Jun,205,Texas A&M,"$947,276 ",BKN
41,30,Thaddeus,Young,PF,27,8-Jun,221,Georgia Tech,"$11,235,955 ",BKN
42,5,Nicolas,Batum,SG,27,8-Jun,200, ,"$13,125,306 ",CHA
43,30,Troy,Daniels,SG,24,4-Jun,205,Virginia Commonwealth,"$947,276 ",CHA
44,12,Jorge,Gutierrez,PG,27,3-Jun,189,California,"$947,276 ",CHA
45,50,Tyler,Hansbrough,PF,30,9-Jun,250,North Carolina,"$947,276 ",CHA
46,9,Aaron,Harrison,SG,21,6-Jun,210,Kentucky,"$525,093 ",CHA
47,0,Spencer,Hawes,PF,27,1-Jul,245,Washington,"$6,110,034 ",CHA
48,25,Al,Jefferson,C,31,10-Jun,289, ,"$13,500,000 ",CHA
49,44,Frank,Kaminsky,C,22,Jul-00,240,Wisconsin,"$2,612,520 ",CHA
50,14,Michael,Kidd-Gilchrist,SF,22,7-Jun,232,Kentucky,"$6,331,404 ",CHA
51,3,Jeremy,Lamb,SG,23,5-Jun,185,Connecticut,"$3,034,356 ",CHA
52,1,Courtney,Lee,SG,30,5-Jun,200,Western Kentucky,"$5,675,000 ",CHA
53,7,Jeremy,Lin,PG,27,3-Jun,200,Harvard,"$2,139,000 ",CHA
54,15,Kemba,Walker,PG,25,1-Jun,184,Connecticut,"$12,000,000 ",CHA
55,2,Marvin,Williams,PF,29,9-Jun,237,North Carolina,"$7,000,000 ",CHA
56,40,Cody,Zeller,C,23,Jul-00,240,Indiana,"$4,204,200 ",CHA
57,41,Cameron,Bairstow,PF,25,9-Jun,250,New Mexico,"$845,059 ",CHI
58,0,Aaron,Brooks,PG,31,Jun-00,161,Oregon,"$2,250,000 ",CHI
59,21,Jimmy,Butler,SG,26,7-Jun,220,Marquette,"$16,407,500 ",CHI
60,34,Mike,Dunleavy,SG,35,9-Jun,230,Duke,"$4,500,000 ",CHI
61,6,Cristiano,Felicio,PF,23,10-Jun,275, ,"$525,093 ",CHI
62,16,Pau,Gasol,C,35,Jul-00,250, ,"$7,448,760 ",CHI
63,22,Taj,Gibson,PF,30,9-Jun,225,USC,"$8,500,000 ",CHI
64,7,Justin,Holiday,SG,26,6-Jun,185,Washington,"$947,276 ",CHI
65,3,Doug,McDermott,SF,24,8-Jun,225,Creighton,"$2,380,440 ",CHI
66,44,Nikola,Mirotic,PF,25,10-Jun,220, ,"$5,543,725 ",CHI
67,55,E'Twaun,Moore,SG,27,4-Jun,191,Purdue,"$1,015,421 ",CHI
68,13,Joakim,Noah,C,31,11-Jun,232,Florida,"$13,400,000 ",CHI
69,5,Bobby,Portis,PF,21,11-Jun,230,Arkansas,"$1,391,160 ",CHI
70,1,Derrick,Rose,PG,27,3-Jun,190,Memphis,"$20,093,064 ",CHI
71,20,Tony,Snell,SF,24,7-Jun,200,New Mexico,"$1,535,880 ",CHI
72,8,Matthew,Dellavedova,PG,25,4-Jun,198,Saint Mary's,"$1,147,276 ",CLE
73,9,Channing,Frye,PF,32,11-Jun,255,Arizona,"$8,193,029 ",CLE
74,2,Kyrie,Irving,PG,23,3-Jun,193,Duke,"$16,407,501 ",CLE
75,23,LeBron,James,SF,31,8-Jun,250, ,"$22,970,500 ",CLE
