Fint,LastName,Position,Rank,City
J,Teague,PG,1,Atlanta
D,Schroder,PG,2,Atlanta
K,Hinrich,PG,3,Atlanta
K,Korver,SG,1,Atlanta
T,Hardaway Jr.,SG,2,Atlanta
K,Bazemore,SF,1,Atlanta
T,Sefolosha,SF,2,Atlanta
L,Patterson,SF,3,Atlanta
P,Millsap,PF,1,Atlanta
M,Scott,PF,2,Atlanta
M,Muscala,PF,3,Atlanta
A,Horford,C,1,Atlanta
T,Splitter,C,2,Atlanta
W,Tavares,C,3,Atlanta
I,Thomas,PG,1,Boston
M,Smart,PG,2,Boston
T,Rozier,PG,3,Boston
A,Bradley,SG,1,Boston
E,Turner,SG,2,Boston
R,Hunter,SG,3,Boston
J,Crowder,SF,1,Boston
J,Young,SF,2,Boston
A,Johnson,PF,1,Boston
J,Jerebko,PF,2,Boston
J,Mickey,PF,3,Boston
J,Sullinger,C,1,Boston
K,Olynyk,C,2,Boston
T,Zeller,C,3,Boston
D,Sloan,PG,1,Brooklyn
S,Larkin,PG,2,Brooklyn
J,Jack,PG,3,Brooklyn
W,Ellington,SG,1,Brooklyn
M,Brown,SG,2,Brooklyn
R,Hollis-Jefferson,SG,3,Brooklyn
B,Bogdanovic,SF,1,Brooklyn
S,Karasev,SF,2,Brooklyn
T,Young,PF,1,Brooklyn
T,Robinson,PF,2,Brooklyn
W,Reed,PF,3,Brooklyn
C,McCullough,PF,4,Brooklyn
B,Lopez,C,1,Brooklyn
K,Walker,PG,1,Charlotte
J,Lin,PG,2,Charlotte
C,Lee,SG,1,Charlotte
J,Lamb,SG,2,Charlotte
A,Harrison,SG,3,Charlotte
N,Batum,SF,1,Charlotte
T,Daniels,SF,2,Charlotte
M,Kidd-Gilchrist,SF,3,Charlotte
M,Williams,PF,1,Charlotte
F,Kaminsky III,PF,2,Charlotte
T,Hansbrough,PF,3,Charlotte
C,Zeller,C,1,Charlotte
S,Hawes,C,2,Charlotte
A,Jefferson,C,3,Charlotte
D,Rose,PG,1,Chicago
A,Brooks,PG,2,Chicago
E,Moore,SG,1,Chicago
J,Butler,SG,2,Chicago
J,Holiday,SG,3,Chicago
M,Dunleavy,SF,1,Chicago
D,McDermott,SF,2,Chicago
T,Snell,SF,3,Chicago
T,Gibson,PF,1,Chicago
N,Mirotic,PF,2,Chicago
B,Portis,PF,3,Chicago
C,Bairstow,PF,4,Chicago
P,Gasol,C,1,Chicago
J,Noah,C,2,Chicago
C,Felicio,C,3,Chicago
K,Irving,PG,1,Cleveland
M,Williams,PG,2,Cleveland
M,Dellavedova,PG,3,Cleveland
J,Smith,SG,1,Cleveland
I,Shumpert,SG,2,Cleveland
L,James,SF,1,Cleveland
R,Jefferson,SF,2,Cleveland
K,Love,PF,1,Cleveland
C,Frye,PF,2,Cleveland
J,Jones,PF,3,Cleveland
T,Thompson,C,1,Cleveland
T,Mozgov,C,2,Cleveland
S,Kaun,C,3,Cleveland
D,Williams,PG,1,Dallas
J,Barea,PG,2,Dallas
R,Felton,PG,3,Dallas
W,Matthews,SG,1,Dallas
D,Harris,SG,2,Dallas
J,Anderson,SG,3,Dallas
C,Parsons,SF,1,Dallas
J,Evans,SF,2,Dallas
D,Nowitzki,PF,1,Dallas
D,Lee,PF,2,Dallas
C,Villanueva,PF,3,Dallas
D,Powell,PF,4,Dallas
Z,Pachulia,C,1,Dallas
J,McGee,C,2,Dallas
S,Mejri,C,3,Dallas
E,Mudiay,PG,1,Denver
J,Nelson,PG,2,Denver
D,Augustin,PG,3,Denver
G,Harris,SG,1,Denver
M,Miller,SG,2,Denver
D,Gallinari,SF,1,Denver
W,Barton,SF,2,Denver
J,Sampson,SF,3,Denver
W,Chandler,SF,4,Denver
K,Faried,PF,1,Denver
D,Arthur,PF,2,Denver
N,Jokic,C,1,Denver
J,Nurkic,C,2,Denver
J,Lauvergne,C,3,Denver
R,Jackson,PG,1,Detroit
S,Blake,PG,2,Detroit
S,Dinwiddie,PG,3,Detroit
K,Caldwell-Pope,SG,1,Detroit
J,Meeks,SG,2,Detroit
D,Hilliard,SG,3,Detroit
M,Morris,SF,1,Detroit
S,Johnson,SF,2,Detroit
R,Bullock,SF,3,Detroit
T,Harris,PF,1,Detroit
J,Anthony,PF,2,Detroit
A,Tolliver,PF,3,Detroit
A,Drummond,C,1,Detroit
A,Baynes,C,2,Detroit
S,Curry,PG,1,Golden State
S,Livingston,PG,2,Golden State
L,Barbosa,PG,3,Golden State
K,Thompson,SG,1,Golden State
B,Rush,SG,2,Golden State
I,Clark,SG,3,Golden State
H,Barnes,SF,1,Golden State
A,Iguodala,SF,2,Golden State
K,Looney,SF,3,Golden State
D,Green,PF,1,Golden State
M,Speights,PF,2,Golden State
J,McAdoo,PF,3,Golden State
A,Bogut,C,1,Golden State
A,Varejao,C,2,Golden State
F,Ezeli,C,3,Golden State
P,Beverley,PG,1,Houston
J,Terry,PG,2,Houston
T,Lawson,PG,3,Houston
J,Harden,SG,1,Houston
K,McDaniels,SG,2,Houston
T,Ariza,SF,1,Houston
C,Brewer,SF,2,Houston
S,Dekker,SF,3,Houston
C,Capela,PF,1,Houston
T,Jones,PF,2,Houston
J,Smith,PF,3,Houston
D,Motiejunas,PF,4,Houston
D,Howard,C,1,Houston
M,Harrell,C,2,Houston
G,Hill,PG,1,Indiana
J,Young,PG,2,Indiana
M,Ellis,SG,1,Indiana
R,Stuckey,SG,2,Indiana
G,Robinson III,SG,3,Indiana
P,George,SF,1,Indiana
C,Budinger,SF,2,Indiana
C,Miles,SF,3,Indiana
S,Hill,SF,4,Indiana
M,Turner,PF,1,Indiana
L,Allen,PF,2,Indiana
R,Christmas,PF,3,Indiana
I,Mahinmi,C,1,Indiana
J,Hill,C,2,Indiana
S,Whittington,C,3,Indiana
C,Paul,PG,1,LA Clippers
P,Prigioni,PG,2,LA Clippers
A,Rivers,PG,3,LA Clippers
J,Redick,SG,1,LA Clippers
J,Crawford,SG,2,LA Clippers
C,Wilcox,SG,3,LA Clippers
P,Pierce,SF,1,LA Clippers
J,Green,SF,2,LA Clippers
W,Johnson,SF,3,LA Clippers
B,Dawson,SF,4,LA Clippers
L,Mbah a Moute,PF,1,LA Clippers
B,Griffin,PF,2,LA Clippers
D,Jordan,C,1,LA Clippers
C,Aldrich,C,2,LA Clippers
L,Williams,PG,1,LA Lakers
D,Russell,PG,2,LA Lakers
M,Huertas,PG,3,LA Lakers
J,Clarkson,SG,1,LA Lakers
K,Bryant,SF,1,LA Lakers
N,Young,SF,2,LA Lakers
A,Brown,SF,3,LA Lakers
L,Nance Jr.,PF,1,LA Lakers
J,Randle,PF,2,LA Lakers
B,Bass,PF,3,LA Lakers
R,Kelly,PF,4,LA Lakers
M,World Peace,PF,5,LA Lakers
R,Hibbert,C,1,LA Lakers
R,Sacre,C,2,LA Lakers
T,Black,C,3,LA Lakers
M,Conley,PG,1,Memphis
M,Chalmers,PG,2,Memphis
T,Allen,SG,1,Memphis
V,Carter,SG,2,Memphis
J,Adams,SG,3,Memphis
M,Barnes,SF,1,Memphis
L,Stephenson,SF,2,Memphis
J,Ennis,SF,3,Memphis
P,Hairston,SF,4,Memphis
Z,Randolph,PF,1,Memphis
J,Green,PF,2,Memphis
J,Martin,PF,3,Memphis
B,Wright,C,1,Memphis
C,Andersen,C,2,Memphis
M,Gasol,C,3,Memphis
G,Dragic,PG,1,Miami
J,Richardson,PG,2,Miami
B,Udrih,PG,3,Miami
T,Johnson,PG,4,Miami
D,Wade,SG,1,Miami
J,Johnson,SG,2,Miami
G,Green,SG,3,Miami
L,Deng,SF,1,Miami
J,Winslow,SF,2,Miami
J,McRoberts,PF,1,Miami
U,Haslem,PF,2,Miami
C,Bosh,PF,3,Miami
H,Whiteside,C,1,Miami
A,Stoudemire,C,2,Miami
O,Mayo,PG,1,Milwaukee
M,Carter-Williams,PG,2,Milwaukee
T,Ennis,PG,3,Milwaukee
G,Vasquez,PG,4,Milwaukee
K,Middleton,SG,1,Milwaukee
J,Bayless,SG,2,Milwaukee
R,Vaughn,SG,3,Milwaukee
G,Antetokounmpo,SF,1,Milwaukee
S,Novak,SF,2,Milwaukee
D,Inglis,SF,3,Milwaukee
J,Parker,PF,1,Milwaukee
J,Henson,PF,2,Milwaukee
J,O'Bryant III,PF,3,Milwaukee
M,Plumlee,C,1,Milwaukee
G,Monroe,C,2,Milwaukee
R,Rubio,PG,1,Minnesota
T,Jones,PG,2,Minnesota
A,Wiggins,SG,1,Minnesota
Z,LaVine,SG,2,Minnesota
K,Martin,SG,3,Minnesota
T,Prince,SF,1,Minnesota
S,Muhammad,SF,2,Minnesota
D,Rudez,SF,3,Minnesota
K,Garnett,PF,1,Minnesota
N,Bjelica,PF,2,Minnesota
A,Payne,PF,3,Minnesota
K,Towns,C,1,Minnesota
G,Dieng,C,2,Minnesota
N,Pekovic,C,3,Minnesota
J,Holiday,PG,1,New Orleans
T,Douglas,PG,2,New Orleans
N,Cole,SG,1,New Orleans
B,Dejean-Jones,SG,2,New Orleans
T,Evans,SG,3,New Orleans
E,Gordon,SG,4,New Orleans
A,Gee,SF,1,New Orleans
D,Cunningham,SF,2,New Orleans
Q,Pondexter,SF,3,New Orleans
A,Davis,PF,1,New Orleans
R,Anderson,PF,2,New Orleans
L,Babbitt,PF,3,New Orleans
O,Asik,C,1,New Orleans
A,Ajinca,C,2,New Orleans
K,Perkins,C,3,New Orleans
J,Calderon,PG,1,New York
L,Galloway,PG,2,New York
J,Grant,PG,3,New York
A,Afflalo,SG,1,New York
S,Vujacic,SG,2,New York
C,Anthony,SF,1,New York
C,Early,SF,2,New York
L,Thomas,SF,3,New York
K,Porzingis,PF,1,New York
D,Williams,PF,2,New York
L,Amundson,PF,3,New York
R,Lopez,C,1,New York
